Preview,Name,Link
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 INS tile_Stitch_thumbnail.png,P1_19A1 KRT green INS white stack 2x_Maximum intensity projection.czi,/optical-clearing/P1/P1-19A/P1-19A-1
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 KRT green INS white stack 2x_Maximum intensity projection_thumbnail.png,P1_19A1 KRT green INS white stack 2x.czi,/optical-clearing/P1/P1-19A/P1-19A-2
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 KRT green INS white stack 2x_thumbnail.png,P1_19A1 KRT green INS white stack.czi,/optical-clearing/P1/P1-19A/P1-19A-3
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 KRT green INS white stack_thumbnail.png,P1_19A2 CD31 red INS white stack 2_Maximum intensity projection.czi,/optical-clearing/P1/P1-19A/P1-19A-4
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack 2_Maximum intensity projection_thumbnail.png,P1_19A2 CD31 red INS white stack 2.czi,/optical-clearing/P1/P1-19A/P1-19A-5
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack 2_thumbnail.png,P1_19A2 CD31 red INS white stack_Maximum intensity projection.czi,/optical-clearing/P1/P1-19A/P1-19A-6
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack_Maximum intensity projection_thumbnail.png,P1_19A2 CD31 red INS white stack.czi,/optical-clearing/P1/P1-19A/P1-19A-7
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack_thumbnail.png,P1_19A2 INS tile scan_Stitch.czi,/optical-clearing/P1/P1-19A/P1-19A-8
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 INS tile scan_Stitch_thumbnail.png,P1_19A1 INS tile_Stitch.czi,/optical-clearing/P1/P1-19A/P1-19A-9
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A AF_CD31_thumbnail.png,P1_19A AF_CD31.avi,/optical-clearing/P1/P1-19A/P1-19A-10
../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling_thumbnail.png,P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling.avi,/optical-clearing/P1/P1-19A/P1-19A-11