pancreas,name,file,color,opacity
1,Body,./assets/obj/body_invert.obj,#EC8728,1
1,Neck,./assets/obj/neck_invert.obj,#EF9846,1
1,Head,./assets/obj/head_invert.obj,#F6AA63,1
1,Tail,./assets/obj/tail_invert.obj,#ED780B,1
1,P1-4A,./assets/obj/P1_Pancreas_Head_4A.obj,#067BC2,0.6
1,P1-7A,./assets/obj/P1_Pancreas_Neck_7A.obj,#067BC2,0.6
1,P1-9,./assets/obj/P1_Pancreas_Neck_9.obj,#067BC2,0.6
1,P1-14A,./assets/obj/P1_Pancreas_Body_14A.obj,#067BC2,0.6
1,P1-19A,./assets/obj/P1_Pancreas_Tail_19A.obj,#067BC2,0.6
1,P1-20C,./assets/obj/P1_Pancreas_Tail_20C.obj,#067BC2,0.6
1,P1-21,./assets/obj/P1_Pancreas_Tail_21.obj,#067BC2,0.6
1,P1-4A proteomics subsection,./assets/obj/P1_20c_subselection.obj,#067BC2,0.6